Player,player_id,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL team key,Overs,Mdns,Runs conceeded,Wkts,BBI,Bowling Ave,Econ,Bowling SR,4 wicket hauls,5 wicket hauls,Ct
PJ Cummins,489889,37,26,10,316,66*,18.56,172,142.12,0,2,2,19,20,105,138.6,1,1145,38,4/34,29.21,8.19,21.30,1,0,7
Q de Kock,379143,73,73,5,"2,131",81,23.56,900,108.17,1,15,3,219,79,101,0,0,0,0,,0.00,0.00,0.00,0,0,51
MC Henriques,5961,60,52,16,985,74*,21.44,586,131.17,0,5,2,87,27,104,153.2,0,1268,39,1/5,34.33,7.87,26.46,0,0,28
SO Hetmyer,670025,24,22,8,359,75,23.94,166,142.66,0,2,1,20,25,103,0,0,0,0,,0.00,0.00,0.00,0,0,12
SS Iyer,642519,80,80,10,"2,247",96,32.10,1786,125.81,0,16,5,191,85,103,0,0,0,0,,0.00,0.00,0.00,0,0,28
KD Karthik,30045,204,184,33,"3,946",97*,24.79,819,128.32,0,19,11,390,109,105,0,0,0,0,,0.00,0.00,0.00,0,0,122
RR Pant,931581,77,77,12,"2,327",128*,35.80,1551,150.03,1,14,4,211,109,103,0,0,0,0,,0.00,0.00,0.00,0,0,51
JJ Roy,298438,8,8,2,179,91*,29.75,94,137.58,0,1,0,18,8,103,0,0,0,0,,0.00,0.00,0.00,0,0,5
AD Russell,276298,82,69,12,"1,680",88*,22.55,897,162.91,0,9,2,117,142,105,204.1,0,1836,71,5/15,125.98,9.41,76.75,1,1,24
SV Samson,425943,115,111,11,"2,865",119,28.13,1595,132.21,3,13,8,217,126,106,0,0,0,0,,0.00,0.00,0.00,0,0,58
PP Shaw,1070168,47,47,0,"1,145",99,24.36,784,146.04,0,9,4,138,39,103,0,0,0,0,,0.00,0.00,0.00,0,0,11
MP Stoinis,325012,55,48,16,896,65,33.81,286,136.37,0,4,5,75,35,103,101.2,0,969,30,3/26,43.92,9.34,28.93,1,0,12
AP Tare,333904,35,28,4,339,8,8.82,235,88.26,0,1,5,40,11,103,0,0,0,0,,0.00,0.00,0.00,0,0,3
R Tewatia,423838,42,29,11,454,53,21.87,268,141.20,0,1,0,30,24,106,118.2,0,898,27,3/25,27.61,6.95,23.17,0,0,19
TK Curran,550235,12,9,4,127,54*,37.22,62,115.75,0,1,0,10,3,103,35.6,0,401,10,1/40,54.66,10.94,30.80,0,0,2
CH Gayle,51880,140,139,16,"4,950",88,37.33,2071,146.39,6,31,8,403,357,104,91.4,0,729,18,,30.71,7.35,22.63,0,0,28
SN Khan,642525,38,26,9,441,67,28.11,172,141.64,0,1,1,50,11,104,0.2,0,6,0,,0.00,9.00,0.00,0,0,4
Mandeep Singh,398506,104,91,16,"1,659",77*,15.70,861,96.06,0,6,12,170,37,104,2,0,26,0,,0.00,4.33,0.00,0,0,36
EJG Morgan,24598,74,66,10,"1,364",68*,19.56,741,117.83,0,5,4,111,62,105,0,0,0,0,,0.00,0.00,0.00,0,0,33
N Pooran,604302,29,27,4,581,77,25.26,370,157.02,0,2,5,35,42,104,0,0,0,0,,0.00,0.00,0.00,0,0,11
KL Rahul,422108,89,80,15,"3,027",68*,39.24,1648,130.39,2,25,1,265,122,104,0,0,0,0,,0.00,0.00,0.00,0,0,45
DJ Hooda,497121,77,58,14,741,64,19.23,317,139.17,0,3,3,39,37,104,54.1,0,458,9,1/15,77.39,8.46,54.67,0,0,30
CA Lynn,326637,42,42,3,"1,329",93*,29.81,901,116.02,0,10,3,132,66,101,0,0,0,0,,0.00,0.00,0.00,0,0,12
SP Narine,230558,125,70,13,902,75,15.82,558,161.64,0,4,8,105,52,105,484.1,3,3279,130,5/19,25.22,6.77,22.30,6,1,20
N Rana,604527,68,62,4,"1,638",87,29.25,885,132.30,0,13,5,148,81,105,17.1,0,142,7,2/11,9.93,5.80,6.90,0,0,14
Shubman Gill,1070173,49,46,10,"1,119",76,31.08,896,124.88,0,7,1,107,30,105,0,0,0,0,,0.00,0.00,0.00,0,0,20
SA Yadav,446507,109,94,19,"2,200",79*,27.84,1170,133.97,0,12,5,243,63,101,1,0,8,0,,0.00,4.00,0.00,0,0,54
RG Sharma,34102,207,202,28,"5,480",109*,31.24,3309,130.86,1,40,13,476,224,101,56.2,0,449,15,1/20,67.11,9.00,40.85,1,0,89
Ishan Kishan,720471,57,52,4,"1,295",99,25.42,736,130.87,0,7,5,104,66,101,0,0,0,0,,0.00,0.00,0.00,0,0,16
HH Pandya,625371,87,80,29,"1,401",91,27.47,891,157.23,0,4,5,91,95,101,144.5,0,1313,42,3/20,31.26,9.06,20.60,0,0,50
