Season ID,Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,IPL Team Key,player_id,Season Name
12741,Washington Sundar,3,2,0,1,1,0.5,3,33.33,0,0,1,0,0,100,719715,2019
13533,MM Ali,3,3,0,12,11,4,16,75,0,0,1,1,0,100,8917,2020
13840,Sandeep Sharma,4,2,1,8,8*,8,7,114.28,0,0,1,1,0,107,438362,2021
13533,KK Nair,4,3,1,16,15*,8,14,114.28,0,0,1,2,0,101,398439,2020
13533,JR Philippe,5,5,1,78,33,19.5,77,101.29,0,0,1,9,1,100,1124282,2020
12741,SO Hetmyer,5,5,0,90,75,18,73,123.28,0,1,1,4,7,100,670025,2019
12741,MJ McClenaghan,5,4,1,11,10,3.66,16,68.75,0,0,1,2,0,101,319439,2019
13840,Abdul Samad,5,5,1,64,28,16,47,136.17,0,0,1,3,4,107,1175485,2021
13840,DA Miller,6,6,3,102,62,34,80,127.5,0,1,1,11,3,106,321777,2021
13533,DJ Bravo,6,2,0,7,7,3.5,6,116.66,0,0,1,0,0,102,51439,2020
12741,GC Viljoen,6,3,1,3,2*,1.5,7,42.85,0,0,1,0,0,101,375126,2019
13840,MM Ali,7,7,0,206,58,29.42,134,153.73,0,1,1,22,12,102,8917,2021
13533,DJ Hooda,7,5,4,101,62*,101,71,142.25,0,1,1,5,5,101,497121,2020
13840,PJ Cummins,7,5,2,93,66*,31,56,166.07,0,1,1,5,8,101,489889,2021
13840,DA Warner,7,7,0,193,57,27.57,178,108.42,0,2,1,15,6,107,219889,2021
13840,HH Pandya,7,6,0,52,16,8.66,44,118.18,0,0,1,5,2,101,625371,2021
13533,V Shankar,7,5,1,97,52*,24.25,96,101.04,0,1,1,10,1,107,477021,2020
13840,HV Patel,8,5,2,47,31,15.66,34,138.23,0,0,1,5,2,100,390481,2021
13840,GJ Maxwell,8,7,0,233,78,33.28,171,136.25,0,2,1,21,10,100,325026,2021
